date,total_messages,kurd_mentions,percent,percent_ma7,volume_ma7,scaled_volume_ma7,trend_delta
2024-08-03,1279,19,1.4855355746677092,1.4855355746677092,1279.0,2.9425997176383314,-1.4570641429706221
2024-08-04,762,27,3.543307086614173,2.5144213306409413,1020.5,2.3478678747849235,0.16655345585601777
2024-08-05,1028,27,2.6264591439688716,2.5517672684169184,1023.0,2.3536196334198696,0.1981476349970488
2024-08-06,1789,48,2.6830631637786473,2.5845912422573503,1214.5,2.7942043448567264,-0.20961310259937616
2024-08-07,1403,49,3.4925160370634356,2.7661762012185678,1252.2,2.880940865071711,-0.11476466385314321
2024-08-08,684,33,4.824561403508772,3.109240401600268,1157.5,2.6630642479799596,0.4461761536203084
2024-08-09,1382,48,3.4732272069464543,3.1612385166497234,1189.5714285714287,2.7368510944682662,0.4243874221814572
2024-08-10,1176,30,2.5510204081632653,3.313450635720517,1174.857142857143,2.702997886502584,0.610452749217933
2024-08-11,1584,31,1.957070707070707,3.086845438642879,1292.2857142857142,2.9731662063840436,0.11367923225883558
2024-08-12,588,18,3.061224489795918,3.148954773761029,1229.4285714285713,2.8285505607054033,0.3204042130556255
2024-08-13,2053,68,3.3122260107160253,3.238835180466368,1267.142857142857,2.9153199481125878,0.3235152323537802
2024-08-14,2832,87,3.0720338983050848,3.1787663035008893,1471.2857142857142,3.3849921246461716,-0.20622582114528232
2024-08-15,1870,53,2.834224598930481,2.8944324742754195,1640.7142857142858,3.7747970241345064,-0.8803645498590869
2024-08-16,1592,58,3.64321608040201,2.9187165990547848,1670.7142857142858,3.8438181277538574,-0.9251015286990727
2024-08-17,1488,36,2.4193548387096775,2.899907231989986,1715.2857142857142,3.946363767416893,-1.0464565354269069
2024-08-18,2317,109,4.704359085023738,3.2923770002689907,1820.0,4.187280286240628,-0.8949032859716373
2024-08-19,1567,46,2.935545628589662,3.2744228772395254,1959.857142857143,4.509050097875602,-1.2346272206360767
2024-08-20,2499,98,3.9215686274509802,3.3614718224873763,2023.5714285714287,4.655637775086224,-1.2941659525988478
2024-08-21,1623,82,5.052372150338878,3.6443772870636324,1850.857142857143,4.25827342139196,-0.613896134328328
2024-08-22,2622,70,2.669717772692601,3.6208763118867924,1958.2857142857142,4.505434706733636,-0.8845583948468438
2024-08-23,1627,26,1.5980331899200984,3.3287073275322334,1963.2857142857142,4.516938224003528,-1.1882308964712949
2024-08-24,884,20,2.262443438914027,3.3062914132757117,1877.0,4.318420383117394,-1.0121289698416827
2024-08-25,607,13,2.1416803953871497,2.9401944576133423,1632.7142857142858,3.7563913965026794,-0.8161969388893371
2024-08-26,952,30,3.1512605042016806,2.9710108684150596,1544.857142857143,3.55425816447458,-0.5832472960595205
2024-08-27,2615,65,2.48565965583174,2.7658810153265962,1561.4285714285713,3.5923841074262213,-0.826503092099625
2024-08-28,552,13,2.3550724637681157,2.3805524886736302,1408.4285714285713,3.2403764789675313,-0.8598239902939011
2024-08-29,1450,54,3.7241379310344827,2.5311839398653277,1241.0,2.8551729863871533,-0.3239890465218256
2024-08-30,780,25,3.2051282051282053,2.7607689420379145,1120.0,2.576787868455771,0.18398107358214366
2024-08-31,1442,40,2.7739251040221915,2.833837751339081,1199.7142857142858,2.7601868009300468,0.07365095040903435
2024-09-01,1185,50,4.219409282700422,3.130656163812405,1282.2857142857142,2.95015917184426,0.18049699196814517
2024-09-02,574,15,2.6132404181184667,3.053796151514803,1228.2857142857142,2.8259211853294284,0.22787496618537473
2024-09-03,2209,51,2.3087369850611137,3.0285214842618564,1170.2857142857142,2.692480384998683,0.3360410992631735
2024-09-04,2171,50,2.3030861354214647,3.021094865926621,1401.5714285714287,3.22460022671168,-0.203505360785059
2024-09-05,419,15,3.579952267303103,3.0004969139649953,1254.2857142857142,2.885739475132866,0.1147574388321293
2024-09-06,3473,59,1.6988194644399655,2.785309951009532,1639.0,3.7708529610705432,-0.9855430100610114
2024-09-07,2517,60,2.3837902264600714,2.7295763970720865,1792.5714285714287,4.124175277217222,-1.3945988801451352
